alpha,threshold_mean,threshold_std,threshold_min,threshold_max,empirical_fdr_mean,empirical_fdr_std
0.001,0.9999995162992767,1.8476219462348762e-06,0.9999929509981714,1.000000238418579,0.000125,0.0003112474899497183
0.005,0.9999932758735888,2.6737446396572126e-06,0.9999893072879675,0.9999966609357583,0.003776855206197312,0.0006431115980294415
0.01,0.9999878232226227,2.4278292294072233e-06,0.9999823510044753,0.9999929509981714,0.008011130001077131,0.0012003910851461144
0.02,0.9999795873959856,1.523525099777419e-06,0.9999783761573561,0.9999823510044753,0.017577567998650366,0.0015680310017393397
0.05,0.9999731588845302,1.5811353022057002e-06,0.9999710887369483,0.9999751960388338,0.039209866815807834,0.006157927186079757
0.1,0.999964364610537,8.105527100922751e-07,0.9999638013165406,0.9999674450267445,0.08871185525632198,0.005557212578407113
0.15,0.9999586658646363,1.593381761618761e-06,0.9999565138961329,0.9999608861075507,0.13235079574423475,0.010417459484752433
0.2,0.9999530845820301,2.990783124004538e-07,0.9999528701859292,0.9999537311419092,0.18557787614897234,0.006514577888177926
