similarity,prob_exact_p0,prob_exact_p1,prob_partial_p0,prob_partial_p1
0.9996839761734009,6.738517229714705e-07,0.0,2.078392820399841e-06,0.0
0.9996842927522249,6.740783831825533e-07,0.0,2.08340278009267e-06,0.0
0.9996846093310489,6.743493034983218e-07,0.0,2.088175289786526e-06,0.0
0.9996849259098729,6.745544567812959e-07,0.0,2.0921552546571376e-06,0.0
0.9996852424886968,6.748517182062171e-07,0.0,2.0973066388144344e-06,0.0
0.9996855590675209,6.751177911766155e-07,0.0,2.102319910020708e-06,0.0
0.9996858756463449,6.753183957406318e-07,0.0,2.10607455082695e-06,0.0
0.9996861922251689,6.756090277580725e-07,0.0,2.1110541126500694e-06,0.0
0.9996865088039929,6.759122449614122e-07,0.0,2.1155200900365352e-06,0.0
0.999686825382817,6.76130236206098e-07,0.0,2.11960058246624e-06,0.0
0.9996871419616409,6.764110441689648e-07,0.0,2.125091378929294e-06,0.0
0.9996874585404649,6.766604910119187e-07,0.0,2.129526308168011e-06,0.0
0.9996877751192889,6.768730091472618e-07,0.0,2.133128552992246e-06,0.0
0.9996880916981129,6.771842408392209e-07,0.0,2.1383010342962105e-06,0.0
0.999688408276937,6.774438957901604e-07,0.0,2.1427913285520515e-06,0.0
0.9996887248557609,6.776454260966674e-07,0.0,2.1466321488217135e-06,0.0
0.9996890414345849,6.778967034561208e-07,0.0,2.152671788590409e-06,0.0
0.999689358013409,6.781569051631476e-07,0.0,2.161335013411084e-06,0.0
0.9996896745922329,6.783703644409109e-07,0.0,2.167716202594756e-06,0.0
0.999689991171057,6.786102062975028e-07,0.0,2.1756725003698645e-06,0.0
0.9996903077498809,6.788746430816564e-07,0.0,2.1844888186939816e-06,0.0
0.9996906243287049,6.790987002050878e-07,0.0,2.191108481780933e-06,0.0
0.999690940907529,6.793367499442944e-07,0.0,2.1992812748793696e-06,0.0
0.9996912574863529,6.798415425332664e-07,0.0,2.2076955852711382e-06,0.0
0.999691574065177,6.802684067025485e-07,0.0,2.21401560438198e-06,0.0
0.9996918906440009,6.808204703652466e-07,0.0,2.221664337621886e-06,0.0
0.9996922072228249,6.814481864278691e-07,0.0,2.2303456366633136e-06,0.0
0.999692523801649,6.818663773734917e-07,0.0,2.237632048261248e-06,0.0
0.9996928403804729,6.824294214431608e-07,0.0,2.2458132426623668e-06,0.0
0.999693156959297,6.830923042137915e-07,0.0,2.254725340632631e-06,0.0
0.999693473538121,6.835802653111726e-07,0.0,2.2613792604385265e-06,0.0
0.9996937901169449,6.840993421700726e-07,0.0,2.26951384743874e-06,0.0
0.999694106695769,6.845465666224678e-07,0.0,2.2760896779333107e-06,0.0
0.9996944232745929,6.851140475099187e-07,0.0,2.284977869989329e-06,0.0
0.999694739853417,6.856895225269579e-07,0.0,2.2930625685052444e-06,0.0
0.999695056432241,6.861769650392837e-07,0.0,2.3008922860285218e-06,0.0
0.9996953730110649,6.867796968691774e-07,0.0,2.3157475464654747e-06,0.0
0.999695689589889,6.873310454373934e-07,0.0,2.3288851626726285e-06,0.0
0.999696006168713,6.877796684076663e-07,0.0,2.3400297183774235e-06,0.0
0.999696322747537,6.883828510064157e-07,0.0,2.354558896936248e-06,0.0
0.999696639326361,6.889177928176187e-07,0.0,2.3685625430782314e-06,0.0
0.9996969559051849,6.893955793197872e-07,0.0,2.3794737080052632e-06,0.0
0.999697272484009,6.900025530094461e-07,0.0,2.394653218294193e-06,0.0
0.999697589062833,6.905204659908313e-07,0.0,2.407857320006646e-06,0.0
0.999697905641657,6.909470050556592e-07,0.0,2.4191929088617457e-06,0.0
0.999698222220481,6.915318467703734e-07,0.0,2.433824316825514e-06,0.0
0.999698538799305,6.921013928540531e-07,0.0,2.4473214067203446e-06,0.0
0.999698855378129,6.925207756232687e-07,0.0,2.45939538223923e-06,0.0
0.999699171956953,6.930621704489379e-07,0.0,2.4726646918317995e-06,0.0
0.999699488535777,6.936732147105891e-07,0.0,2.48741368674507e-06,0.0
0.999699805114601,6.943692211121572e-07,0.0,2.498488414509222e-06,0.0
0.999700121693425,6.952309244277033e-07,0.0,2.5127206482819273e-06,0.0
0.999700438272249,6.962425876273515e-07,0.0,2.5284641855690435e-06,0.0
0.999700754851073,6.969695068871042e-07,0.0,2.539585793557071e-06,0.0
0.999701071429897,6.979175536035577e-07,0.0,2.5538478826047204e-06,0.0
0.999701388008721,6.988882086376991e-07,0.0,2.569452295548681e-06,0.0
0.999701704587545,6.996098975211423e-07,0.0,2.580219008989483e-06,0.0
0.999702021166369,7.005116537118712e-07,0.0,2.5944509882263814e-06,0.0
0.999702337745193,7.019233401443295e-07,0.0,2.6097463587513928e-06,0.0
0.9997026543240171,7.030519485084753e-07,0.0,2.6219673669941503e-06,0.0
0.999702970902841,7.044833319243667e-07,0.0,2.6368039826287353e-06,0.0
0.999703287481665,7.056206921856742e-07,0.0,2.647849284418731e-06,0.0
0.999703604060489,7.070800633826568e-07,0.0,2.6637330087130708e-06,0.0
0.999703920639313,7.084104615223316e-07,0.0,2.678738849749538e-06,0.0
0.9997042372181371,7.095388990510627e-07,0.0,2.6906529407491315e-06,0.0
0.999704553796961,7.110150450783538e-07,0.0,2.7067775001827073e-06,0.0
0.999704870375785,7.124003975194218e-07,0.0,2.721688317697234e-06,0.0
0.9997051869546091,7.13450976643042e-07,0.0,2.7332336614124804e-06,0.0
0.999705503533433,7.148105894899969e-07,0.0,2.750577621300473e-06,0.0
0.9997058201122571,7.162800425756858e-07,0.0,2.766259381077126e-06,0.0
