alpha,threshold_mean,threshold_std,threshold_min,threshold_max,empirical_fdr_mean,empirical_fdr_std
0.001,1.000000238418579,0.0,1.000000238418579,1.000000238418579,0.0,0.0
0.005,0.9999998773589278,1.0832295681854654e-06,0.9999965947083752,1.000000238418579,0.00045801282051282055,0.0013779986055758907
0.01,0.9999961002908572,1.28780325194154e-06,0.9999929509981714,0.9999968752716527,0.007224520806074183,0.001825631311208895
0.02,0.9999930522056539,1.6952246182851983e-07,0.9999929509981714,0.9999935193495317,0.013335415773224108,0.002304322272079332
0.05,0.9999871449940132,1.6840946447968873e-06,0.9999856635777638,0.9999896558848295,0.040360802332470906,0.00840661769708955
0.1,0.99998005881454,1.7455746588230029e-06,0.9999783761573561,0.9999823510044753,0.08709266350751729,0.011992918257283684
0.15,0.9999745476125469,8.814669953095664e-07,0.999971618556013,0.9999755458398298,0.13003795689423917,0.007703546317339674
0.2,0.9999690347247654,1.5730287981676673e-06,0.9999666069493149,0.9999710887369483,0.18134862074355695,0.012818693007247141
